
String: qwert
a - 0
b - 0
c - 0
d - 0
e - 1
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 1
r - 1
s - 0
t - 1
u - 0
v - 0
w - 1
x - 0
y - 0
z - 0

----------------------------
String: sdf
a - 0
b - 0
c - 0
d - 1
e - 0
f - 1
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 1
t - 0
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: asx
a - 1
b - 0
c - 0
d - 0
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 1
t - 0
u - 0
v - 0
w - 0
x - 1
y - 0
z - 0

----------------------------
String: adadadaddaadad
a - 7
b - 0
c - 0
d - 7
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 0
t - 0
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: adadadada
a - 5
b - 0
c - 0
d - 4
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 0
t - 0
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: asd
a - 1
b - 0
c - 0
d - 1
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 1
t - 0
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: str
a - 0
b - 0
c - 0
d - 0
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 1
s - 1
t - 1
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: strhj
a - 0
b - 0
c - 0
d - 0
e - 0
f - 0
g - 0
h - 1
i - 0
j - 1
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 1
s - 1
t - 1
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: qwert
a - 0
b - 0
c - 0
d - 0
e - 1
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 1
r - 1
s - 0
t - 1
u - 0
v - 0
w - 1
x - 0
y - 0
z - 0

----------------------------
String: sdf
a - 0
b - 0
c - 0
d - 1
e - 0
f - 1
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 1
t - 0
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: asx
a - 1
b - 0
c - 0
d - 0
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 1
t - 0
u - 0
v - 0
w - 0
x - 1
y - 0
z - 0

----------------------------
String: adadadaddaadad
a - 7
b - 0
c - 0
d - 7
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 0
t - 0
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: adadadada
a - 5
b - 0
c - 0
d - 4
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 0
t - 0
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: asd
a - 1
b - 0
c - 0
d - 1
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 1
t - 0
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: str
a - 0
b - 0
c - 0
d - 0
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 1
s - 1
t - 1
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: strhj
a - 0
b - 0
c - 0
d - 0
e - 0
f - 0
g - 0
h - 1
i - 0
j - 1
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 1
s - 1
t - 1
u - 0
v - 0
w - 0
x - 0
y - 0
z - 0

----------------------------
String: qwerty
a - 0
b - 0
c - 0
d - 0
e - 1
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 1
r - 1
s - 0
t - 1
u - 0
v - 0
w - 1
x - 0
y - 1
z - 0

----------------------------
String: zxcv
a - 0
b - 0
c - 1
d - 0
e - 0
f - 0
g - 0
h - 0
i - 0
j - 0
k - 0
l - 0
m - 0
n - 0
o - 0
p - 0
q - 0
r - 0
s - 0
t - 0
u - 0
v - 1
w - 0
x - 1
y - 0
z - 1

----------------------------
